feature_index,feature_name,model_name
1,project_prf_year_of_project,top_model_1_GradientBoostingRegressor
2,project_prf_application_type,top_model_1_GradientBoostingRegressor
3,tech_tf_primary_programming_language,top_model_1_GradientBoostingRegressor
4,project_prf_functional_size,top_model_1_GradientBoostingRegressor
5,project_prf_max_team_size,top_model_1_GradientBoostingRegressor
6,process_pmf_docs,top_model_1_GradientBoostingRegressor
7,tech_tf_tools_used,top_model_1_GradientBoostingRegressor
8,external_eef_organisation_type_banking_insurance_stock,top_model_1_GradientBoostingRegressor
9,external_eef_organisation_type_banking,top_model_1_GradientBoostingRegressor
10,external_eef_organisation_type_communications,top_model_1_GradientBoostingRegressor
11,external_eef_organisation_type_education_institution,top_model_1_GradientBoostingRegressor
12,external_eef_organisation_type_financial_banking_insurance_stock,top_model_1_GradientBoostingRegressor
13,external_eef_organisation_type_financial_property_and_business_services,top_model_1_GradientBoostingRegressor
14,external_eef_organisation_type_government,top_model_1_GradientBoostingRegressor
15,external_eef_organisation_type_medical_and_health_care,top_model_1_GradientBoostingRegressor
16,external_eef_organisation_type_transport_and_storage,top_model_1_GradientBoostingRegressor
17,external_eef_organisation_type_wholesale_and_retail_trade,top_model_1_GradientBoostingRegressor
18,external_eef_industry_sector_banking,top_model_1_GradientBoostingRegressor
19,external_eef_industry_sector_financial,top_model_1_GradientBoostingRegressor
20,project_prf_application_group_business_application,top_model_1_GradientBoostingRegressor
21,project_prf_application_group_infrastructure_software,top_model_1_GradientBoostingRegressor
22,project_prf_application_group_missing,top_model_1_GradientBoostingRegressor
23,project_prf_application_group_real_time_application,top_model_1_GradientBoostingRegressor
24,project_prf_development_type_enhancement,top_model_1_GradientBoostingRegressor
25,project_prf_development_type_new_development,top_model_1_GradientBoostingRegressor
26,project_prf_development_type_re_development,top_model_1_GradientBoostingRegressor
27,tech_tf_development_platform_mf,top_model_1_GradientBoostingRegressor
28,tech_tf_development_platform_mr,top_model_1_GradientBoostingRegressor
29,tech_tf_development_platform_missing,top_model_1_GradientBoostingRegressor
30,tech_tf_development_platform_multi,top_model_1_GradientBoostingRegressor
31,tech_tf_development_platform_pc,top_model_1_GradientBoostingRegressor
32,tech_tf_development_platform_proprietary,top_model_1_GradientBoostingRegressor
33,tech_tf_language_type_3gl,top_model_1_GradientBoostingRegressor
34,tech_tf_language_type_4gl,top_model_1_GradientBoostingRegressor
35,tech_tf_language_type_5gl,top_model_1_GradientBoostingRegressor
36,tech_tf_language_type_missing,top_model_1_GradientBoostingRegressor
37,functional_size_group_l_1000_2999,top_model_1_GradientBoostingRegressor
38,functional_size_group_m_100_999,top_model_1_GradientBoostingRegressor
39,functional_size_group_s_100,top_model_1_GradientBoostingRegressor
40,functional_size_group_xl_3000_8999,top_model_1_GradientBoostingRegressor
41,functional_size_group_xxl_9000_17999,top_model_1_GradientBoostingRegressor
42,project_prf_relative_size_l,top_model_1_GradientBoostingRegressor
43,project_prf_relative_size_m1,top_model_1_GradientBoostingRegressor
44,project_prf_relative_size_m2,top_model_1_GradientBoostingRegressor
45,project_prf_relative_size_missing,top_model_1_GradientBoostingRegressor
46,project_prf_relative_size_s,top_model_1_GradientBoostingRegressor
47,project_prf_relative_size_xl,top_model_1_GradientBoostingRegressor
48,project_prf_relative_size_xs,top_model_1_GradientBoostingRegressor
49,project_prf_relative_size_xxl,top_model_1_GradientBoostingRegressor
50,project_prf_relative_size_xxs,top_model_1_GradientBoostingRegressor
51,project_prf_team_size_group_1,top_model_1_GradientBoostingRegressor
52,project_prf_team_size_group_15_20,top_model_1_GradientBoostingRegressor
53,project_prf_team_size_group_2,top_model_1_GradientBoostingRegressor
54,project_prf_team_size_group_21_30,top_model_1_GradientBoostingRegressor
55,project_prf_team_size_group_3_4,top_model_1_GradientBoostingRegressor
56,project_prf_team_size_group_31_40,top_model_1_GradientBoostingRegressor
57,project_prf_team_size_group_5_8,top_model_1_GradientBoostingRegressor
58,project_prf_team_size_group_9_14,top_model_1_GradientBoostingRegressor
59,project_prf_team_size_group_missing,top_model_1_GradientBoostingRegressor
60,process_pmf_development_methodologies_agile_development,top_model_1_GradientBoostingRegressor
61,process_pmf_development_methodologies_lean,top_model_1_GradientBoostingRegressor
62,process_pmf_development_methodologies_missing,top_model_1_GradientBoostingRegressor
63,process_pmf_development_methodologies_unified_process,top_model_1_GradientBoostingRegressor
64,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,top_model_1_GradientBoostingRegressor
65,tech_tf_architecture_client_server,top_model_1_GradientBoostingRegressor
66,tech_tf_architecture_missing,top_model_1_GradientBoostingRegressor
67,tech_tf_architecture_multi_tier,top_model_1_GradientBoostingRegressor
68,tech_tf_architecture_multi_tier_client_server,top_model_1_GradientBoostingRegressor
69,tech_tf_architecture_multi_tier_with_web_public_interface,top_model_1_GradientBoostingRegressor
70,tech_tf_architecture_stand_alone,top_model_1_GradientBoostingRegressor
71,project_prf_case_tool_used_missing,top_model_1_GradientBoostingRegressor
72,project_prf_case_tool_used_no,top_model_1_GradientBoostingRegressor
73,project_prf_case_tool_used_yes,top_model_1_GradientBoostingRegressor
74,tech_tf_client_server_don_t_know,top_model_1_GradientBoostingRegressor
75,tech_tf_client_server_missing,top_model_1_GradientBoostingRegressor
76,tech_tf_client_server_yes,top_model_1_GradientBoostingRegressor
77,tech_tf_dbms_used_missing,top_model_1_GradientBoostingRegressor
78,tech_tf_dbms_used_yes,top_model_1_GradientBoostingRegressor
79,project_prf_normalised_work_effort,top_model_1_GradientBoostingRegressor
