feature,importance,model,importance_type,rank
project_prf_functional_size,0.7344153789507641,GradientBoostingRegressor,feature_importances_,1
project_prf_max_team_size,0.15131503622865242,GradientBoostingRegressor,feature_importances_,2
project_prf_application_type_financial transaction process/accounting,0.025748624656634404,GradientBoostingRegressor,feature_importances_,3
tech_tf_language_type_3gl,0.023111928311753228,GradientBoostingRegressor,feature_importances_,4
tech_tf_tools_used,0.011268706790455512,GradientBoostingRegressor,feature_importances_,5
external_eef_industry_sector_banking,0.004953499882914198,GradientBoostingRegressor,feature_importances_,6
project_prf_relative_size_m2,0.003912555556912431,GradientBoostingRegressor,feature_importances_,7
external_eef_industry_sector_financial,0.002934212728538332,GradientBoostingRegressor,feature_importances_,8
process_pmf_docs,0.0029030526396029038,GradientBoostingRegressor,feature_importances_,9
project_prf_team_size_group_missing,0.0025755857943429157,GradientBoostingRegressor,feature_importances_,10
tech_tf_development_platform_mf,0.0024687365609907252,GradientBoostingRegressor,feature_importances_,11
external_eef_organisation_type_banking,0.0021687339360968736,GradientBoostingRegressor,feature_importances_,12
tech_tf_primary_programming_language,0.0021452551066378596,GradientBoostingRegressor,feature_importances_,13
tech_tf_dbms_used_missing,0.0021160135548676257,GradientBoostingRegressor,feature_importances_,14
external_eef_organisation_type_financial_property_and_business_services,0.0019697673788411033,GradientBoostingRegressor,feature_importances_,15
project_prf_application_group_missing,0.0016441297516847568,GradientBoostingRegressor,feature_importances_,16
external_eef_organisation_type_transport_and_storage,0.0016427719924511502,GradientBoostingRegressor,feature_importances_,17
project_prf_team_size_group_1,0.0015616285507909684,GradientBoostingRegressor,feature_importances_,18
project_prf_case_tool_used_missing,0.0014534093510536678,GradientBoostingRegressor,feature_importances_,19
external_eef_organisation_type_government,0.0013787864696002666,GradientBoostingRegressor,feature_importances_,20
functional_size_group_s_100,0.0011453284846231996,GradientBoostingRegressor,feature_importances_,21
project_prf_relative_size_m1,0.0011401247936189496,GradientBoostingRegressor,feature_importances_,22
functional_size_group_xl_3000_8999,0.0010341834102145626,GradientBoostingRegressor,feature_importances_,23
project_prf_application_type_financial transaction process/accounting; workflow support & management,0.0010130970563100958,GradientBoostingRegressor,feature_importances_,24
tech_tf_dbms_used_yes,0.0009740256730376275,GradientBoostingRegressor,feature_importances_,25
project_prf_application_type_surveillance and security,0.000904899873022288,GradientBoostingRegressor,feature_importances_,26
tech_tf_client_server_don_t_know,0.0008206136276633444,GradientBoostingRegressor,feature_importances_,27
process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,0.0007891399980440464,GradientBoostingRegressor,feature_importances_,28
project_prf_relative_size_s,0.0007574999285208669,GradientBoostingRegressor,feature_importances_,29
tech_tf_client_server_missing,0.0006896317938325533,GradientBoostingRegressor,feature_importances_,30
tech_tf_development_platform_proprietary,0.0006147980294327559,GradientBoostingRegressor,feature_importances_,31
tech_tf_language_type_5gl,0.0005697384602351554,GradientBoostingRegressor,feature_importances_,32
project_prf_relative_size_l,0.0005504686186534001,GradientBoostingRegressor,feature_importances_,33
project_prf_application_group_business_application,0.0005460558863827855,GradientBoostingRegressor,feature_importances_,34
functional_size_group_m_100_999,0.0005310494481667004,GradientBoostingRegressor,feature_importances_,35
tech_tf_development_platform_pc,0.0005201640345015726,GradientBoostingRegressor,feature_importances_,36
project_prf_case_tool_used_no,0.0004830567093783488,GradientBoostingRegressor,feature_importances_,37
functional_size_group_l_1000_2999,0.0004804897039976581,GradientBoostingRegressor,feature_importances_,38
tech_tf_language_type_missing,0.00045895473901516446,GradientBoostingRegressor,feature_importances_,39
tech_tf_architecture_missing,0.00043427255132957323,GradientBoostingRegressor,feature_importances_,40
project_prf_team_size_group_15_20,0.00043114700686734816,GradientBoostingRegressor,feature_importances_,41
tech_tf_development_platform_multi,0.00042288128570903294,GradientBoostingRegressor,feature_importances_,42
project_prf_team_size_group_21_30,0.00036032271064505343,GradientBoostingRegressor,feature_importances_,43
