feature,importance,model,importance_type,rank
project_prf_functional_size,480,LGBMRegressor,feature_importances_,1
project_prf_max_team_size,244,LGBMRegressor,feature_importances_,2
tech_tf_language_type_3gl,79,LGBMRegressor,feature_importances_,3
project_prf_application_type_financial transaction process/accounting,59,LGBMRegressor,feature_importances_,4
external_eef_industry_sector_banking,51,LGBMRegressor,feature_importances_,5
process_pmf_docs,49,LGBMRegressor,feature_importances_,6
tech_tf_tools_used,46,LGBMRegressor,feature_importances_,7
tech_tf_primary_programming_language,44,LGBMRegressor,feature_importances_,8
external_eef_organisation_type_banking,42,LGBMRegressor,feature_importances_,9
project_prf_relative_size_m2,41,LGBMRegressor,feature_importances_,10
project_prf_team_size_group_missing,37,LGBMRegressor,feature_importances_,11
tech_tf_development_platform_mf,32,LGBMRegressor,feature_importances_,12
external_eef_industry_sector_financial,30,LGBMRegressor,feature_importances_,13
external_eef_organisation_type_financial_property_and_business_services,29,LGBMRegressor,feature_importances_,14
functional_size_group_m_100_999,27,LGBMRegressor,feature_importances_,15
functional_size_group_s_100,26,LGBMRegressor,feature_importances_,16
tech_tf_dbms_used_missing,24,LGBMRegressor,feature_importances_,17
project_prf_case_tool_used_missing,23,LGBMRegressor,feature_importances_,18
external_eef_organisation_type_transport_and_storage,22,LGBMRegressor,feature_importances_,19
project_prf_relative_size_s,19,LGBMRegressor,feature_importances_,20
project_prf_development_type_new_development,13,LGBMRegressor,feature_importances_,21
tech_tf_client_server_don_t_know,13,LGBMRegressor,feature_importances_,22
external_eef_organisation_type_government,12,LGBMRegressor,feature_importances_,23
project_prf_case_tool_used_no,12,LGBMRegressor,feature_importances_,24
project_prf_application_type_financial transaction process/accounting; workflow support & management,11,LGBMRegressor,feature_importances_,25
project_prf_application_type_surveillance and security,11,LGBMRegressor,feature_importances_,26
tech_tf_dbms_used_yes,10,LGBMRegressor,feature_importances_,27
tech_tf_development_platform_multi,9,LGBMRegressor,feature_importances_,28
process_pmf_development_methodologies_agile_development,9,LGBMRegressor,feature_importances_,29
process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,9,LGBMRegressor,feature_importances_,30
tech_tf_architecture_client_server,9,LGBMRegressor,feature_importances_,31
tech_tf_development_platform_pc,9,LGBMRegressor,feature_importances_,32
project_prf_application_group_business_application,8,LGBMRegressor,feature_importances_,33
project_prf_development_type_enhancement,8,LGBMRegressor,feature_importances_,34
tech_tf_language_type_missing,7,LGBMRegressor,feature_importances_,35
tech_tf_architecture_missing,6,LGBMRegressor,feature_importances_,36
project_prf_relative_size_xs,6,LGBMRegressor,feature_importances_,37
external_eef_organisation_type_medical_and_health_care,6,LGBMRegressor,feature_importances_,38
project_prf_team_size_group_3_4,6,LGBMRegressor,feature_importances_,39
process_pmf_development_methodologies_missing,5,LGBMRegressor,feature_importances_,40
tech_tf_architecture_multi_tier,5,LGBMRegressor,feature_importances_,41
project_prf_application_type_business application,4,LGBMRegressor,feature_importances_,42
project_prf_team_size_group_1,3,LGBMRegressor,feature_importances_,43
tech_tf_development_platform_missing,3,LGBMRegressor,feature_importances_,44
tech_tf_architecture_stand_alone,3,LGBMRegressor,feature_importances_,45
tech_tf_language_type_4gl,3,LGBMRegressor,feature_importances_,46
tech_tf_client_server_missing,2,LGBMRegressor,feature_importances_,47
project_prf_team_size_group_21_30,2,LGBMRegressor,feature_importances_,48
project_prf_case_tool_used_yes,2,LGBMRegressor,feature_importances_,49
project_prf_relative_size_missing,2,LGBMRegressor,feature_importances_,50
project_prf_application_type_online analysis and reporting,2,LGBMRegressor,feature_importances_,51
project_prf_relative_size_m1,2,LGBMRegressor,feature_importances_,52
project_prf_team_size_group_5_8,1,LGBMRegressor,feature_importances_,53
project_prf_team_size_group_9_14,1,LGBMRegressor,feature_importances_,54
project_prf_development_type_re_development,1,LGBMRegressor,feature_importances_,55
project_prf_application_type_management or performance reporting; online analysis and reporting,1,LGBMRegressor,feature_importances_,56
project_prf_application_type_mobile application,0,LGBMRegressor,feature_importances_,57
process_pmf_development_methodologies_lean,0,LGBMRegressor,feature_importances_,58
tech_tf_architecture_multi_tier_with_web_public_interface,0,LGBMRegressor,feature_importances_,59
process_pmf_development_methodologies_unified_process,0,LGBMRegressor,feature_importances_,60
tech_tf_client_server_yes,0,LGBMRegressor,feature_importances_,61
project_prf_application_type_missing,0,LGBMRegressor,feature_importances_,62
project_prf_application_type_cards and payments,0,LGBMRegressor,feature_importances_,63
project_prf_team_size_group_31_40,0,LGBMRegressor,feature_importances_,64
tech_tf_architecture_multi_tier_client_server,0,LGBMRegressor,feature_importances_,65
external_eef_organisation_type_financial_banking_insurance_stock,0,LGBMRegressor,feature_importances_,66
project_prf_application_type_management or performance reporting,0,LGBMRegressor,feature_importances_,67
project_prf_team_size_group_2,0,LGBMRegressor,feature_importances_,68
tech_tf_development_platform_proprietary,0,LGBMRegressor,feature_importances_,69
external_eef_organisation_type_education_institution,0,LGBMRegressor,feature_importances_,70
external_eef_organisation_type_wholesale_and_retail_trade,0,LGBMRegressor,feature_importances_,71
external_eef_organisation_type_communications,0,LGBMRegressor,feature_importances_,72
external_eef_organisation_type_banking_insurance_stock,0,LGBMRegressor,feature_importances_,73
project_prf_application_group_infrastructure_software,0,LGBMRegressor,feature_importances_,74
