feature,importance,model,importance_type,rank
project_prf_functional_size,3053.7979916029076,BayesianRidge,coef_ (absolute values),1
project_prf_max_team_size,1680.881398222408,BayesianRidge,coef_ (absolute values),2
tech_tf_language_type_3gl,669.1497410333625,BayesianRidge,coef_ (absolute values),3
external_eef_industry_sector_banking,432.7595086624783,BayesianRidge,coef_ (absolute values),4
project_prf_relative_size_m2,307.5838530343174,BayesianRidge,coef_ (absolute values),5
tech_tf_tools_used,291.9839783350181,BayesianRidge,coef_ (absolute values),6
external_eef_industry_sector_financial,247.41529617910612,BayesianRidge,coef_ (absolute values),7
project_prf_application_type_financial transaction process/accounting,243.29077866018082,BayesianRidge,coef_ (absolute values),8
external_eef_organisation_type_banking,241.28032954276955,BayesianRidge,coef_ (absolute values),9
project_prf_team_size_group_missing,221.96160001673968,BayesianRidge,coef_ (absolute values),10
tech_tf_dbms_used_missing,205.18518176304497,BayesianRidge,coef_ (absolute values),11
external_eef_organisation_type_financial_property_and_business_services,204.51434653029526,BayesianRidge,coef_ (absolute values),12
tech_tf_development_platform_mf,188.7907689582072,BayesianRidge,coef_ (absolute values),13
project_prf_application_group_missing,187.17867530180436,BayesianRidge,coef_ (absolute values),14
external_eef_organisation_type_transport_and_storage,185.24879554887445,BayesianRidge,coef_ (absolute values),15
project_prf_case_tool_used_missing,170.26231508720082,BayesianRidge,coef_ (absolute values),16
tech_tf_client_server_don_t_know,159.73903205178277,BayesianRidge,coef_ (absolute values),17
process_pmf_docs,157.33276046421648,BayesianRidge,coef_ (absolute values),18
tech_tf_dbms_used_yes,152.1904487025621,BayesianRidge,coef_ (absolute values),19
tech_tf_language_type_missing,140.88802861425557,BayesianRidge,coef_ (absolute values),20
external_eef_organisation_type_government,129.11682022015745,BayesianRidge,coef_ (absolute values),21
tech_tf_development_platform_proprietary,124.91026269404878,BayesianRidge,coef_ (absolute values),22
tech_tf_architecture_multi_tier,121.05483796604568,BayesianRidge,coef_ (absolute values),23
tech_tf_development_platform_pc,119.36187991322089,BayesianRidge,coef_ (absolute values),24
project_prf_development_type_new_development,116.1519393010949,BayesianRidge,coef_ (absolute values),25
tech_tf_development_platform_multi,114.79672170634024,BayesianRidge,coef_ (absolute values),26
process_pmf_development_methodologies_missing,113.84712709496648,BayesianRidge,coef_ (absolute values),27
project_prf_application_type_cards and payments,111.98104084547026,BayesianRidge,coef_ (absolute values),28
project_prf_relative_size_s,111.5320740508264,BayesianRidge,coef_ (absolute values),29
tech_tf_architecture_client_server,110.85541631201735,BayesianRidge,coef_ (absolute values),30
project_prf_application_type_financial transaction process/accounting; workflow support & management,109.88711900058773,BayesianRidge,coef_ (absolute values),31
project_prf_application_type_management or performance reporting; online analysis and reporting,103.57158895075356,BayesianRidge,coef_ (absolute values),32
project_prf_relative_size_xl,96.30592652723354,BayesianRidge,coef_ (absolute values),33
functional_size_group_m_100_999,90.44708879525788,BayesianRidge,coef_ (absolute values),34
