Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2370.3043,12745107.3567,3570.029,0.6141,1.1136,2.1974
1,2340.2576,12358066.5741,3515.4042,0.6234,1.1296,2.1394
2,2370.9156,12859586.2711,3586.0265,0.6018,1.097,2.4236
3,2382.0064,13126267.8896,3623.0192,0.6176,1.0679,2.0104
4,2127.6852,10041752.7698,3168.8725,0.6434,1.1597,2.4012
5,2249.8249,11713806.4653,3422.5439,0.6142,1.1249,2.5275
6,2302.2354,12612626.0238,3551.4259,0.616,1.2306,2.9304
7,2279.3575,11449657.6797,3383.7343,0.6478,1.1386,2.4868
8,2048.1513,8866858.403,2977.7271,0.6241,1.128,2.3461
9,2212.038,11635306.4262,3411.0565,0.6012,1.0762,1.9
Mean,2268.2776,11740903.5859,3420.9839,0.6204,1.1266,2.3363
Std,105.8586,1287006.5649,194.3521,0.0146,0.0437,0.2791
