Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2216.0542,11409924.4987,3377.858,0.6545,1.0589,2.0168
1,2159.3967,10744364.2869,3277.8597,0.6726,1.1149,2.2396
2,2094.1241,10508825.2687,3241.7318,0.6746,1.0156,2.0155
3,2164.8787,11155094.0703,3339.9243,0.675,1.0328,1.9612
4,1987.2888,9041616.3684,3006.9281,0.6789,1.1004,2.2499
5,2094.2737,9940162.5361,3152.8023,0.6726,1.0688,2.1968
6,2138.0318,11092727.1439,3330.5746,0.6623,1.1528,2.8713
7,2134.9179,10457810.8284,3233.8539,0.6783,1.1005,2.3299
8,1903.7408,7645391.2714,2765.0301,0.6759,1.0855,2.4291
9,2066.0094,10218704.458,3196.6708,0.6498,0.9947,1.8014
Mean,2095.8716,10221462.0731,3192.3234,0.6695,1.0725,2.2112
Std,87.2612,1075285.6936,174.7389,0.0097,0.0459,0.284
