Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2344.5305,12239625.6835,3498.5176,0.6294,1.2525,4.2188
1,2327.8965,11119151.3545,3334.5392,0.6611,1.3001,3.8556
2,2230.6522,10929038.7527,3305.9097,0.6616,1.2674,5.0759
3,2323.7101,11601996.1668,3406.1703,0.662,1.2248,3.4656
4,2131.0006,9374092.6648,3061.714,0.6671,1.2612,3.7951
5,2268.1606,10651453.6736,3263.6565,0.6492,1.3328,4.8411
6,2292.1057,11278451.1152,3358.3405,0.6566,1.4356,6.0433
7,2318.6724,10903308.1641,3302.0158,0.6646,1.319,4.9094
8,2140.4539,8313183.2982,2883.2591,0.6476,1.361,5.4933
9,2208.9113,10343035.947,3216.0591,0.6455,1.2751,4.9536
Mean,2258.6094,10675333.682,3263.0182,0.6545,1.303,4.6651
Std,73.9853,1066149.6555,167.4695,0.011,0.0588,0.7732
